id,q1,q2,q3,q4,commets,score,state,user_id,seller_id,order_id,updated_at,created_at
437,5.00,5.00,5.00,5.00,"Gracias son un servicio, incomparable, siempre es un placer comprar, este es mi tercer pedido y a salido igual a los otros exelente ❤️",5.00,1,49173,0,19249,"2024-06-07 13:12:38","2024-06-07 13:12:38"
438,5.00,5.00,5.00,5.00,"Súper lindo el vestido! 🫶🏼✨",5.00,1,53299,47517,19975,"2024-06-07 15:06:32","2024-06-07 15:06:09"
440,0.00,0.00,0.00,0.50,"Nunca proceso el pedido",0.00,1,60812,54092,19963,"2024-06-07 21:00:05","2024-06-07 20:59:20"
443,5.00,5.00,5.00,5.00,"Facilidad de compra, plataforma amigable y de fácil manejo, servicio de entrega profesional ",5.00,1,57990,47530,20012,"2024-06-08 08:16:51","2024-06-08 08:16:51"
444,4.00,5.00,5.00,5.00,"Excelente servicio ",4.67,1,60786,10180,19957,"2024-06-08 09:28:14","2024-06-08 09:28:14"
447,5.00,4.00,5.00,5.00,"Buen servicio!",4.67,1,60874,56393,20000,"2024-06-08 11:40:01","2024-06-08 11:40:01"
456,5.00,4.00,4.00,5.00,"Excelente servicio. Me gustaría fotos mas claras de los productos ",4.33,1,52602,0,20022,"2024-06-10 18:39:23","2024-06-10 18:39:23"
459,5.00,5.00,5.00,5.00,"Gracias ",5.00,1,61099,55514,20045,"2024-06-11 12:25:33","2024-06-11 12:25:33"
461,5.00,3.00,3.00,5.00,"Todo bien con la entrega, la blusa está linda, pero el producto trae manchas en la parte de atrás",3.67,1,8528,44716,20064,"2024-06-11 15:58:09","2024-06-11 15:58:09"
468,5.00,5.00,5.00,5.00,"Super rapida entrega",5.00,1,61337,54950,20092,"2024-06-12 09:18:00","2024-06-12 09:18:00"
470,5.00,5.00,5.00,5.00,"Suenan bien ",5.00,1,23833,60288,20072,"2024-06-12 12:12:41","2024-06-12 12:12:41"
471,5.00,5.00,5.00,5.00,"Muy lindas las botas",5.00,1,61108,57919,20062,"2024-06-12 13:56:44","2024-06-12 13:56:44"
472,4.00,4.00,4.00,4.00,"Excelente servicio ",4.00,1,58788,57470,20091,"2024-06-12 15:23:38","2024-06-12 15:23:38"
475,4.50,2.50,3.00,5.00,"La talla en realidad es 11.5, no 10.5 como dice la publicación",3.33,1,7049,40350,20080,"2024-06-13 11:15:50","2024-06-13 11:15:16"
476,4.00,4.00,3.00,4.00,"Talla incorrecta, la talla publicada es 10.5, los zapatos en realidad son talla 11.5",3.67,1,7049,40350,20080,"2024-06-13 11:18:38","2024-06-13 11:18:38"
478,5.00,5.00,4.00,5.00,"Excelente ",4.67,1,59000,9788,20104,"2024-06-13 15:05:48","2024-06-13 15:05:48"
480,5.00,5.00,5.00,5.00,"Excelente logística. Gracias al vendedor por el detalle. ",5.00,1,52895,60731,20139,"2024-06-14 09:26:54","2024-06-14 09:26:54"
485,5.00,4.00,4.00,4.00,"En general todo bueno ",4.33,1,61549,53194,20132,"2024-06-14 11:16:46","2024-06-14 11:16:46"
486,5.00,3.50,4.50,5.00,"El único detalle es la talla de zapatos que decía 12 y son 13. Por lo demás todo bien 🙂 👍",4.33,1,52895,52251,20140,"2024-06-14 11:54:00","2024-06-14 11:52:14"
489,5.00,5.00,5.00,5.00,"Buena experiencia en primer compra",5.00,1,61159,50506,20096,"2024-06-14 19:53:27","2024-06-14 19:53:27"
490,4.00,0.50,0.50,4.00,"La publicación decía que la camisa era talla M y que estaba nueva con etiqueta. Realmente la camisa era talla L y la camisa ya había sido usada, ya que olía a detergente de ropa.",1.67,1,10180,9900,20126,"2024-06-15 00:29:35","2024-06-15 00:27:01"
491,5.00,5.00,5.00,5.00,"Excelente ",5.00,1,61889,0,20162,"2024-06-15 10:14:26","2024-06-15 10:14:26"
492,4.00,5.00,5.00,5.00,"Todo bien solo el tiempo de envío fue algo largo ",4.67,1,61788,53058,20153,"2024-06-15 10:14:45","2024-06-15 10:14:45"
494,5.00,5.00,5.00,5.00,"Excelente servicio",5.00,1,61363,52280,20102,"2024-06-15 14:11:46","2024-06-15 14:11:46"
496,5.00,5.00,4.00,5.00,"Excelente servicio",4.67,1,58788,57470,20227,"2024-06-15 21:51:26","2024-06-15 21:50:54"
509,0.50,0.00,0.50,0.00,"No ha aceptado mi pedido",0.33,1,14033,54107,20229,"2024-06-18 18:30:54","2024-06-18 09:31:11"
518,0.50,0.50,0.50,0.50,"No he recibido el pedido :/",0.50,1,10847,10792,20232,"2024-06-19 09:48:00","2024-06-19 09:47:40"
