id,score,user_id_x,is_canceled,order_id,customer_related_cancellation,total_orden,paid_by_card,paid_by_cash_and_canceled,cancel_rate,user_id_y,cart_count,user_id,product_count,predicted_score
106,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
107,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
108,5.0,108.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,108.0,1.0,4.992506390683736
109,5.0,109.0,0.0,18.0,0.0,599.34,5.0,0.0,0.0,109.0,1.0,109.0,56.0,4.995163185839886
110,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
111,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
112,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
113,5.0,113.0,1.0,2.0,0.0,0.0,2.0,0.0,0.5,,0.0,113.0,2.0,4.967279833227919
114,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
115,5.0,115.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,115.0,1.0,4.992506390683736
116,5.0,116.0,0.0,1.0,0.0,5.92,0.0,0.0,0.0,,0.0,116.0,1.0,4.992506390683736
117,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
118,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
119,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
120,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
121,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
122,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
123,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
124,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
125,5.0,125.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,125.0,3.0,4.992506390683736
126,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
127,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
128,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
129,5.0,129.0,1.0,4.0,0.0,14.950000000000001,0.0,1.0,0.25,,0.0,129.0,6.0,4.969870653927007
130,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
131,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
132,5.0,132.0,0.0,3.0,0.0,84.00999999999999,1.0,0.0,0.0,,0.0,132.0,8.0,4.9930800845532035
133,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
134,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
135,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
136,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
137,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
138,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
139,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
140,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
141,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
