,usuario,Finicio,Ffinal,diferencia_entre_fechas,frecuencia_compra,desviacion_estandar,cantidad_elementos
1822,16390.0,2022-11-03,2023-03-14,"[8, 19, 5, 10, 41, 48]",21.833333333333332,16.707450101343678,6
1823,16399.0,2022-11-03,2023-02-14,"[33, 70]",51.5,18.5,2
1824,16404.0,2022-11-04,2022-11-04,[],,,0
1825,16405.0,2022-12-27,2023-01-25,[29],29.0,0.0,1
1826,16414.0,2024-01-19,2024-01-19,[],,,0
1827,16416.0,2022-11-04,2022-11-04,[],,,0
1828,16424.0,2022-11-10,2023-04-29,"[25, 30, 115]",56.666666666666664,41.29837231121289,3
1829,16430.0,2022-11-05,2022-11-05,[],,,0
1830,16432.0,2022-12-21,2022-12-21,[],,,0
1831,16433.0,2022-12-13,2022-12-13,[],,,0
1832,16436.0,2024-05-30,2024-05-30,[],,,0
1833,16438.0,2023-03-06,2023-03-06,[],,,0
1834,16443.0,2022-11-08,2023-01-04,"[15, 42]",28.5,13.5,2
1835,16444.0,2022-11-05,2023-01-12,"[44, 24]",34.0,10.0,2
1836,16448.0,2022-11-05,2022-11-05,[],,,0
1837,16449.0,2022-11-05,2022-11-05,[],,,0
1838,16451.0,2022-11-05,2022-11-05,[],,,0
1839,16452.0,2022-11-10,2022-11-10,[],,,0
1840,16453.0,2022-11-05,2022-11-05,[],,,0
1841,16468.0,2022-11-05,2023-03-31,[146],146.0,0.0,1
1842,16470.0,2022-11-05,2022-11-05,[],,,0
1843,16472.0,2022-11-17,2024-05-26,"[23, 5, 106, 61, 13, 15, 28, 23, 26, 83, 173]",50.54545454545455,49.18307845805883,11
1844,16474.0,2022-11-05,2022-11-10,[5],5.0,0.0,1
1845,16475.0,2022-11-05,2023-01-28,[84],84.0,0.0,1
1846,16476.0,2022-11-05,2024-09-27,"[17, 675]",346.0,329.0,2
1847,16477.0,2022-11-05,2022-11-10,[5],5.0,0.0,1
1848,16481.0,2022-11-06,2022-11-06,[],,,0
1849,16482.0,2022-11-05,2022-12-13,"[31, 7]",19.0,12.0,2
1850,16486.0,2022-11-06,2024-02-11,"[21, 2, 157, 1, 24, 129, 51, 7, 53, 17]",46.2,51.68713573027625,10
1851,16488.0,2022-11-08,2022-11-08,[],,,0
1852,16493.0,2023-06-02,2023-11-08,[159],159.0,0.0,1
1853,16495.0,2022-11-06,2022-11-06,[],,,0
1854,16498.0,2023-05-04,2023-05-04,[],,,0
1855,16503.0,2022-11-07,2022-11-07,[],,,0
1856,16508.0,2022-11-06,2022-11-06,[],,,0
1857,16513.0,2022-11-09,2022-11-09,[],,,0
1858,16521.0,2022-11-06,2022-11-06,[],,,0
1859,16525.0,2022-11-06,2022-11-06,[],,,0
1860,16528.0,2022-11-06,2024-07-19,"[18, 603]",310.5,292.5,2
1861,16531.0,2022-11-06,2023-09-02,"[20, 93, 187]",100.0,68.35690650304961,3
1862,16532.0,2022-11-06,2023-07-30,"[8, 22, 30, 20, 46, 102, 38]",38.0,28.5457027038597,7
1863,16534.0,2022-11-06,2023-03-31,[145],145.0,0.0,1
1864,16537.0,2022-11-16,2022-11-16,[],,,0
1865,16543.0,2022-11-07,2022-11-07,[],,,0
1866,16546.0,2022-11-08,2022-11-08,[],,,0
1867,16552.0,2024-04-24,2024-04-24,[],,,0
1868,16555.0,2022-11-07,2022-11-07,[],,,0
1869,16593.0,2022-11-08,2022-11-10,[2],2.0,0.0,1
1870,16596.0,2022-11-08,2022-11-08,[],,,0
1871,16599.0,2022-11-08,2023-03-30,"[16, 11, 4, 4, 6, 10, 28, 62, 1]",15.777777777777779,18.054102505634297,9
1872,16601.0,2023-05-24,2023-05-24,[],,,0
1873,16603.0,2022-11-08,2022-11-08,[],,,0
1874,16606.0,2022-11-10,2022-11-10,[],,,0
1875,16611.0,2022-11-22,2022-11-22,[],,,0
1876,16620.0,2022-11-26,2022-11-26,[],,,0
1877,16634.0,2022-11-08,2023-08-23,[288],288.0,0.0,1
1878,16635.0,2022-11-08,2022-11-08,[],,,0
1879,16641.0,2022-12-21,2023-03-10,"[20, 59]",39.5,19.5,2
1880,16647.0,2023-07-06,2024-10-07,"[6, 107, 14, 332]",114.75,131.56248515439347,4
1881,16653.0,2022-11-11,2023-08-02,"[17, 11, 28, 6, 6, 6, 7, 3, 4, 5, 10, 9, 1, 4, 7, 3, 4, 19, 1, 24, 14, 5, 12, 25, 5, 28]",10.153846153846153,8.155660175571827,26
1882,16654.0,2023-06-20,2024-08-24,"[1, 51, 74, 149, 4, 131, 21]",61.57142857142857,55.23936780143344,7
1883,16661.0,2022-11-09,2022-11-09,[],,,0
