id,q1,q2,q3,q4,commets,score,state,user_id,seller_id,order_id,updated_at,created_at,sentiment_label,sentiment_score
421,1.0,0.0,0.0,0.5,"No he recibido noticias de mi producto , si aun existe o ya se vendió",0.33,1,10038,50649,19948,2024-06-05 16:02:52,2024-06-05 16:02:22,Negative,-0.296
422,4.0,5.0,4.0,4.0,Todo buen ,4.33,1,60720,16246,19938,2024-06-05 19:49:27,2024-06-05 19:49:27,Neutral,0.0
423,2.5,5.0,1.5,4.5,El vendedor no especificó que tenía detalles el artículo como mancha de lejía cintas sucias,3.0,1,58941,58822,19861,2024-06-05 21:09:22,2024-06-05 21:08:49,Negative,-0.296
437,5.0,5.0,5.0,5.0,"Gracias son un servicio, incomparable, siempre es un placer comprar, este es mi tercer pedido y a salido igual a los otros exelente ❤️",5.0,1,49173,0,19249,2024-06-07 13:12:38,2024-06-07 13:12:38,Neutral,0.0
438,5.0,5.0,5.0,5.0,Súper lindo el vestido! 🫶🏼✨,5.0,1,53299,47517,19975,2024-06-07 15:06:32,2024-06-07 15:06:09,Neutral,0.0
440,0.0,0.0,0.0,0.5,Nunca proceso el pedido,0.0,1,60812,54092,19963,2024-06-07 21:00:05,2024-06-07 20:59:20,Neutral,0.0
443,5.0,5.0,5.0,5.0,"Facilidad de compra, plataforma amigable y de fácil manejo, servicio de entrega profesional ",5.0,1,57990,47530,20012,2024-06-08 08:16:51,2024-06-08 08:16:51,Neutral,0.0
444,4.0,5.0,5.0,5.0,Excelente servicio ,4.67,1,60786,10180,19957,2024-06-08 09:28:14,2024-06-08 09:28:14,Neutral,0.0
447,5.0,4.0,5.0,5.0,Buen servicio!,4.67,1,60874,56393,20000,2024-06-08 11:40:01,2024-06-08 11:40:01,Neutral,0.0
456,5.0,4.0,4.0,5.0,Excelente servicio. Me gustaría fotos mas claras de los productos ,4.33,1,52602,0,20022,2024-06-10 18:39:23,2024-06-10 18:39:23,Neutral,0.0
459,5.0,5.0,5.0,5.0,Gracias ,5.0,1,61099,55514,20045,2024-06-11 12:25:33,2024-06-11 12:25:33,Neutral,0.0
461,5.0,3.0,3.0,5.0,"Todo bien con la entrega, la blusa está linda, pero el producto trae manchas en la parte de atrás",3.67,1,8528,44716,20064,2024-06-11 15:58:09,2024-06-11 15:58:09,Neutral,0.0
468,5.0,5.0,5.0,5.0,Super rapida entrega,5.0,1,61337,54950,20092,2024-06-12 09:18:00,2024-06-12 09:18:00,Positive,0.5994
470,5.0,5.0,5.0,5.0,Suenan bien ,5.0,1,23833,60288,20072,2024-06-12 12:12:41,2024-06-12 12:12:41,Neutral,0.0
471,5.0,5.0,5.0,5.0,Muy lindas las botas,5.0,1,61108,57919,20062,2024-06-12 13:56:44,2024-06-12 13:56:44,Neutral,0.0
472,4.0,4.0,4.0,4.0,Excelente servicio ,4.0,1,58788,57470,20091,2024-06-12 15:23:38,2024-06-12 15:23:38,Neutral,0.0
475,4.5,2.5,3.0,5.0,"La talla en realidad es 11.5, no 10.5 como dice la publicación",3.33,1,7049,40350,20080,2024-06-13 11:15:50,2024-06-13 11:15:16,Negative,-0.296
476,4.0,4.0,3.0,4.0,"Talla incorrecta, la talla publicada es 10.5, los zapatos en realidad son talla 11.5",3.67,1,7049,40350,20080,2024-06-13 11:18:38,2024-06-13 11:18:38,Neutral,0.0
478,5.0,5.0,4.0,5.0,Excelente ,4.67,1,59000,9788,20104,2024-06-13 15:05:48,2024-06-13 15:05:48,Neutral,0.0
480,5.0,5.0,5.0,5.0,Excelente logística. Gracias al vendedor por el detalle. ,5.0,1,52895,60731,20139,2024-06-14 09:26:54,2024-06-14 09:26:54,Neutral,0.0
485,5.0,4.0,4.0,4.0,En general todo bueno ,4.33,1,61549,53194,20132,2024-06-14 11:16:46,2024-06-14 11:16:46,Neutral,0.0
486,5.0,3.5,4.5,5.0,El único detalle es la talla de zapatos que decía 12 y son 13. Por lo demás todo bien 🙂 👍,4.33,1,52895,52251,20140,2024-06-14 11:54:00,2024-06-14 11:52:14,Neutral,0.0
489,5.0,5.0,5.0,5.0,Buena experiencia en primer compra,5.0,1,61159,50506,20096,2024-06-14 19:53:27,2024-06-14 19:53:27,Neutral,0.0
490,4.0,0.5,0.5,4.0,"La publicación decía que la camisa era talla M y que estaba nueva con etiqueta. Realmente la camisa era talla L y la camisa ya había sido usada, ya que olía a detergente de ropa.",1.67,1,10180,9900,20126,2024-06-15 00:29:35,2024-06-15 00:27:01,Neutral,0.0
491,5.0,5.0,5.0,5.0,Excelente ,5.0,1,61889,0,20162,2024-06-15 10:14:26,2024-06-15 10:14:26,Neutral,0.0
492,4.0,5.0,5.0,5.0,Todo bien solo el tiempo de envío fue algo largo ,4.67,1,61788,53058,20153,2024-06-15 10:14:45,2024-06-15 10:14:45,Neutral,0.0
494,5.0,5.0,5.0,5.0,Excelente servicio,5.0,1,61363,52280,20102,2024-06-15 14:11:46,2024-06-15 14:11:46,Neutral,0.0
496,5.0,5.0,4.0,5.0,Excelente servicio,4.67,1,58788,57470,20227,2024-06-15 21:51:26,2024-06-15 21:50:54,Neutral,0.0
509,0.5,0.0,0.5,0.0,No ha aceptado mi pedido,0.33,1,14033,54107,20229,2024-06-18 18:30:54,2024-06-18 09:31:11,Positive,0.0516
518,0.5,0.5,0.5,0.5,No he recibido el pedido :/,0.5,1,10847,10792,20232,2024-06-19 09:48:00,2024-06-19 09:47:40,Negative,-0.5574
